aligned_dna_short_read_set_id,aligned_dna_short_read_id
PMGRC-346-346-0_LS4073358_SQ6086_1,PMGRC-346-346-0_LS4073358_SQ6086_1
PMGRC-347-346-3_LS4073351_SQ6125_1,PMGRC-347-346-3_LS4073351_SQ6125_1
PMGRC-348-346-3_LS4073364_SQ6092_1,PMGRC-348-346-3_LS4073364_SQ6092_1
PMGRC-349-346-2_LS4073363_SQ6091_1,PMGRC-349-346-2_LS4073363_SQ6091_1
PMGRC-350-346-1_LS4073362_SQ6090_1,PMGRC-350-346-1_LS4073362_SQ6090_1
PMGRC-351-351-0_LS4073420_SQ6074_1,PMGRC-351-351-0_LS4073420_SQ6074_1
PMGRC-352-351-1_LS4073418_SQ6072_1,PMGRC-352-351-1_LS4073418_SQ6072_1
PMGRC-353-351-2_LS4073419_SQ6073_1,PMGRC-353-351-2_LS4073419_SQ6073_1
PMGRC-354-355-1_LS4073339_SQ6113_1,PMGRC-354-355-1_LS4073339_SQ6113_1
PMGRC-355-355-0_LS4073347_SQ6121_1,PMGRC-355-355-0_LS4073347_SQ6121_1
PMGRC-356-355-2_LS4073338_SQ6112_1,PMGRC-356-355-2_LS4073338_SQ6112_1
PMGRC-357-357-0_LS4698948_SQ6111_1,PMGRC-357-357-0_LS4698948_SQ6111_1
PMGRC-358-357-2_LS4698947_SQ6110_1,PMGRC-358-357-2_LS4698947_SQ6110_1
PMGRC-359-357-1_LS4698946_SQ6109_1,PMGRC-359-357-1_LS4698946_SQ6109_1
PMGRC-363-363-0_LS4268797_SQ6113_1,PMGRC-363-363-0_LS4268797_SQ6113_1
PMGRC-364-363-2_LS4268799_SQ6115_1,PMGRC-364-363-2_LS4268799_SQ6115_1
PMGRC-365-363-1_LS4268798_SQ6114_1,PMGRC-365-363-1_LS4268798_SQ6114_1
PMGRC-366-366-0_LS3762990_SQ6082_1,PMGRC-366-366-0_LS3762990_SQ6082_1
PMGRC-367-366-2_LS3762989_SQ6081_1,PMGRC-367-366-2_LS3762989_SQ6081_1
